TITLE,OPEN_DT,OPEN_MONTH,OPEN_QUARTER,OPEN_WEEK,SHOW_TM,NATION_NM,COMPANY_NM,PRI_GENRE_NM,WATCH_GRADE_NM,SERIES,NAVER_CMT_NN,NAVER_CMT_LEN_MEAN,NAVER_EX_PT,ORI_BOOK,AUDI_ACC
인턴,2015-09-24,9,3,39,121.0,미국,워너브러더스 코리아(주),코미디,12세이상관람가,0.0,140.0,45.657142857142894,5224.0,0.0,3610642
라라랜드,2016-12-07,12,4,49,127.0,미국,판씨네마(주),드라마,12세이상관람가,0.0,104.0,50.605769230769205,2565.0,0.0,3597193
귀향,2016-02-24,2,1,8,127.0,한국,(주)와우픽쳐스,드라마,15세이상관람가,1.0,1486.0,56.706594885598896,47687.0,0.0,3586523
리얼 스틸,2011-10-12,10,4,41,127.0,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,액션,12세이상관람가,,381.0,19.217847769028896,0.0,1.0,3579666
신의 한 수,2014-07-03,7,3,27,117.0,한국,(주)쇼박스,범죄,청소년관람불가,0.0,493.0,40.2048681541582,2407.0,0.0,3562123
코코,2018-01-11,1,1,2,126.0,미국,월트디즈니컴퍼니코리아 유한책임회사,애니메이션,전체관람가,0.0,509.0,78.76227897838899,4467.0,0.0,3510017
부러진 화살,2012-01-18,1,1,3,100.0,한국,(주)넥스트엔터테인먼트월드(NEW),드라마,15세이상관람가,0.0,291.0,23.766323024054998,0.0,0.0,3450941
끝까지 간다,2014-05-29,5,2,22,110.0,한국,(주)쇼박스,액션,15세이상관람가,0.0,995.0,46.085427135678394,1320.0,0.0,3450143
비긴 어게인,2014-08-13,8,3,33,103.0,미국,판씨네마(주),멜로,15세이상관람가,0.0,454.0,39.55947136563879,1276.0,0.0,3427464
스파이,2013-09-05,9,3,36,121.0,한국,씨제이이앤엠(주),액션,15세이상관람가,0.0,755.0,35.1377483443709,0.0,0.0,3423920
그것만이 내 세상,2018-01-17,1,1,3,120.0,한국,씨제이이앤엠(주),코미디,12세이상관람가,0.0,321.0,48.769470404984396,5829.0,0.0,3417629
이끼,2010-07-14,7,3,28,163.0,한국,씨제이엔터테인먼트,드라마,청소년관람불가,0.0,672.0,30.693452380952397,0.0,1.0,3408144
돈,2019-03-20,3,1,12,115.0,한국,(주)쇼박스,범죄,15세이상관람가,0.0,171.0,39.8070175438597,2278.0,1.0,3389046
포화속으로,2010-06-16,6,2,24,120.0,한국,롯데쇼핑㈜롯데엔터테인먼트,드라마,12세이상관람가,0.0,3354.0,24.713178294573602,0.0,0.0,3385706
맨 인 블랙 3,2012-05-24,5,2,21,106.0,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,액션,12세이상관람가,1.0,303.0,22.316831683168303,0.0,0.0,3379762
어바웃 타임,2013-12-05,12,4,49,123.0,영국,유니버설픽쳐스인터내셔널 코리아(유),멜로,15세이상관람가,0.0,296.0,56.2128378378378,0.0,0.0,3375735
슈퍼배드 3,2017-07-26,7,3,30,89.0,미국,유니버설픽쳐스인터내셔널 코리아(유),애니메이션,전체관람가,,182.0,34.9945054945055,7863.0,0.0,3324861
데드풀,2016-02-17,2,1,7,107.0,미국,이십세기폭스코리아(주),액션,청소년관람불가,1.0,1377.0,38.840958605664504,14601.0,0.0,3317196
아이 캔 스피크,2017-09-21,9,3,38,118.0,한국,롯데쇼핑㈜롯데엔터테인먼트,코미디,12세이상관람가,0.0,456.0,59.644736842105296,6377.0,0.0,3280243
스타워즈: 깨어난 포스,2015-12-17,12,4,51,135.0,미국,월트디즈니컴퍼니코리아(주),액션,12세이상관람가,1.0,608.0,41.4292763157895,14170.0,0.0,3273879
분노의 질주: 더 세븐,2015-04-01,4,2,14,137.0,미국,유니버설픽쳐스인터내셔널 코리아(유),액션,15세이상관람가,1.0,724.0,40.7596685082873,7601.0,0.0,3247558
터미네이터 제니시스,2015-07-02,7,3,27,125.0,미국,롯데쇼핑㈜롯데엔터테인먼트,액션,15세이상관람가,1.0,1294.0,37.3338485316847,28154.0,0.0,3239371
그래비티,2013-10-17,10,4,42,90.0,미국,기타,SF,12세이상관람가,0.0,582.0,35.792096219931295,0.0,0.0,3227452
마녀,2018-06-27,6,2,26,125.0,한국,워너브러더스 코리아(주),미스터리,15세이상관람가,0.0,79.0,42.4936708860759,275.0,0.0,3189091
탐정: 리턴즈,2018-06-13,6,2,24,116.0,한국,씨제이이앤엠(주),코미디,15세이상관람가,1.0,157.0,40.484076433121,760.0,0.0,3148038
